"date","avg_danceability","avg_energy","avg_loudness","avg_speechiness","avg_acousticness","avg_instrumentalnes","avg_liveness","avg_valence","avg_tempo"
"2017-09-29",0.6816,0.73808,-4.66876,0.125836,0.2627212,0.0008362032,0.253948,0.66752,127.113
"2017-10-27",0.66984,0.693,-4.68292,0.097308,0.2609692,0.0098576588,0.204372,0.59192,129.96228
"2017-12-01",0.70192,0.70556,-4.75444,0.099072,0.1997092,0.0101196508,0.207796,0.6394,127.05188
"2017-12-29",0.70884,0.68436,-5.03632,0.109844,0.2426332,0.0007138468,0.234052,0.66524,126.6804
"2018-01-26",0.70316,0.67104,-5.26112,0.121872,0.22354,0.0006439268,0.255752,0.6666,134.65864
"2018-02-23",0.72172,0.67348,-5.67908,0.11782,0.286548,0.0006425004,0.250316,0.69824,143.67464
"2018-03-30",0.71568,0.6516,-6.02444,0.11706,0.3063588,0.000048374,0.288268,0.65368,139.76392
"2018-04-27",0.696,0.68548,-5.55912,0.105216,0.3316308,0.000109828,0.279492,0.68768,138.63948
"2018-06-01",0.68952,0.7164,-5.78724,0.093012,0.3085748,0.000253602,0.300476,0.67468,135.29464
"2018-06-29",0.68104,0.72852,-5.84392,0.104848,0.3125588,0.000615794,0.302264,0.70344,136.68332
"2018-07-27",0.68296,0.7166,-5.7722,0.105964,0.2931468,0.000592514,0.275904,0.70388,131.80452
"2018-08-31",0.70876,0.71912,-5.136,0.08792,0.3114788,0.000618,0.230048,0.6606,127.0376
"2018-09-28",0.70588,0.7316,-4.47556,0.101332,0.3385628,0.000636424,0.242056,0.68072,130.95068
"2018-10-26",0.69828,0.76068,-4.3972,0.10444,0.344216,0.00011438,0.29836,0.65796,133.96032
"2018-11-30",0.69616,0.73776,-4.59644,0.106436,0.3128,0.0000001356,0.308024,0.65372,128.78588
"2018-12-30",0.6932,0.77424,-4.3244,0.111692,0.320356,0.000000248,0.360776,0.6574,133.72104
