"Position","Track","Artist","Streams","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","uri","track_href","analysis_url","duration_ms","time_signature"
"1","U.S.A.","DA PUMP","170069","4qZyuyqLoZ3CaH79rGvJFR",0.653,0.992,7,-0.877,1,0.0587,0.0171,0,0.221,0.921,139.542,"audio_features","spotify:track:4qZyuyqLoZ3CaH79rGvJFR","https://api.spotify.com/v1/tracks/4qZyuyqLoZ3CaH79rGvJFR","https://api.spotify.com/v1/audio-analysis/4qZyuyqLoZ3CaH79rGvJFR",238493,4
"2","打上花火","DAOKO×米津玄師","162719","4IouQaO9GkaHC7AtMErdSa",0.625,0.668,6,-4.315,1,0.0249,0.288,0,0.107,0.292,95.968,"audio_features","spotify:track:4IouQaO9GkaHC7AtMErdSa","https://api.spotify.com/v1/tracks/4IouQaO9GkaHC7AtMErdSa","https://api.spotify.com/v1/audio-analysis/4IouQaO9GkaHC7AtMErdSa",289578,4
"3","IDOL","BTS","142733","2AIWoHr9DF6y4KALCBKWQS",0.734,0.855,9,-3.211,1,0.118,0.00481,0,0.123,0.422,126.035,"audio_features","spotify:track:2AIWoHr9DF6y4KALCBKWQS","https://api.spotify.com/v1/tracks/2AIWoHr9DF6y4KALCBKWQS","https://api.spotify.com/v1/audio-analysis/2AIWoHr9DF6y4KALCBKWQS",222732,4
"4","No Brainer","DJ Khaled","140047","5WvAo7DNuPRmk4APhdPzi8",0.552,0.76,0,-4.706,1,0.342,0.0733,0,0.0865,0.639,135.702,"audio_features","spotify:track:5WvAo7DNuPRmk4APhdPzi8","https://api.spotify.com/v1/tracks/5WvAo7DNuPRmk4APhdPzi8","https://api.spotify.com/v1/audio-analysis/5WvAo7DNuPRmk4APhdPzi8",260000,5
"5","HANABI","Mr.Children","132236","77lmDcPPyY6kK907gdgC6i",0.638,0.766,1,-5.541,1,0.0268,0.156,0,0.124,0.595,112,"audio_features","spotify:track:77lmDcPPyY6kK907gdgC6i","https://api.spotify.com/v1/tracks/77lmDcPPyY6kK907gdgC6i","https://api.spotify.com/v1/audio-analysis/77lmDcPPyY6kK907gdgC6i",342773,4
"6","マリーゴールド","Aimyon","129587","0jWVUKsIoyo3zw64RaEWYg",0.54,0.8,2,-2.299,1,0.0304,0.0849,0,0.0836,0.378,106.098,"audio_features","spotify:track:0jWVUKsIoyo3zw64RaEWYg","https://api.spotify.com/v1/tracks/0jWVUKsIoyo3zw64RaEWYg","https://api.spotify.com/v1/audio-analysis/0jWVUKsIoyo3zw64RaEWYg",308107,4
"7","Shape of You","Ed Sheeran","127814","7qiZfU4dY1lWllzX7mPBI3",0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,"audio_features","spotify:track:7qiZfU4dY1lWllzX7mPBI3","https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3","https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3",233713,4
"8","愛唄","GReeeeN","121183","6ANQEKJui81dRMb6xD3XrO",0.5,0.8,8,-3.724,1,0.0312,0.0775,0,0.189,0.408,169.95,"audio_features","spotify:track:6ANQEKJui81dRMb6xD3XrO","https://api.spotify.com/v1/tracks/6ANQEKJui81dRMb6xD3XrO","https://api.spotify.com/v1/audio-analysis/6ANQEKJui81dRMb6xD3XrO",236253,4
"9","君はロックを聴かない","Aimyon","119422","59eluCMn0XbOWqeWQ91FTM",0.524,0.687,7,-4.039,1,0.0267,0.00135,0,0.169,0.619,99.919,"audio_features","spotify:track:59eluCMn0XbOWqeWQ91FTM","https://api.spotify.com/v1/tracks/59eluCMn0XbOWqeWQ91FTM","https://api.spotify.com/v1/audio-analysis/59eluCMn0XbOWqeWQ91FTM",246307,4
"10","In My Feelings","Drake","118814","2G7V7zsVDxg1yRsu7Ew9RJ",0.835,0.626,1,-5.833,1,0.125,0.0589,6e-05,0.396,0.35,91.03,"audio_features","spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ","https://api.spotify.com/v1/tracks/2G7V7zsVDxg1yRsu7Ew9RJ","https://api.spotify.com/v1/audio-analysis/2G7V7zsVDxg1yRsu7Ew9RJ",217925,4
"11","My Boo","Shota Shimizu","116141","2gasr6aemUqZIBBN05EO03",0.719,0.718,2,-4.996,1,0.0316,0.307,0.000178,0.0846,0.693,153.937,"audio_features","spotify:track:2gasr6aemUqZIBBN05EO03","https://api.spotify.com/v1/tracks/2gasr6aemUqZIBBN05EO03","https://api.spotify.com/v1/audio-analysis/2gasr6aemUqZIBBN05EO03",270867,4
"12","青と夏","Mrs. GREEN APPLE","115478","0a3587n25Xhw098UeEbeJq",0.31,0.887,4,-1.654,1,0.0463,0.00184,0,0.291,0.745,184.91,"audio_features","spotify:track:0a3587n25Xhw098UeEbeJq","https://api.spotify.com/v1/tracks/0a3587n25Xhw098UeEbeJq","https://api.spotify.com/v1/audio-analysis/0a3587n25Xhw098UeEbeJq",270507,4
"13","Rise","Jonas Blue","113655","3u1S1OmAUhx5DRlLrXqyp3",0.69,0.784,1,-4.653,1,0.032,0.323,0,0.203,0.669,106.066,"audio_features","spotify:track:3u1S1OmAUhx5DRlLrXqyp3","https://api.spotify.com/v1/tracks/3u1S1OmAUhx5DRlLrXqyp3","https://api.spotify.com/v1/audio-analysis/3u1S1OmAUhx5DRlLrXqyp3",194408,4
"14","Wherever you are","ONE OK ROCK","112033","0YAMQSmHk6BSUGTYpaoqTJ",0.379,0.69,4,-4.79,1,0.0549,0.0286,0,0.335,0.288,173.716,"audio_features","spotify:track:0YAMQSmHk6BSUGTYpaoqTJ","https://api.spotify.com/v1/tracks/0YAMQSmHk6BSUGTYpaoqTJ","https://api.spotify.com/v1/audio-analysis/0YAMQSmHk6BSUGTYpaoqTJ",295600,4
"15","恋音と雨空","AAA","109054","46gSY0U7ZZCmd7EuJuo15N",0.625,0.86,1,-4.456,1,0.0314,0.0512,0,0.408,0.533,129.064,"audio_features","spotify:track:46gSY0U7ZZCmd7EuJuo15N","https://api.spotify.com/v1/tracks/46gSY0U7ZZCmd7EuJuo15N","https://api.spotify.com/v1/audio-analysis/46gSY0U7ZZCmd7EuJuo15N",316187,4
"16","Change","ONE OK ROCK","105594","6KBj27Bko8gh71gpx0PzIG",0.357,0.75,8,-4.971,1,0.0533,0.00245,0,0.372,0.326,89.632,"audio_features","spotify:track:6KBj27Bko8gh71gpx0PzIG","https://api.spotify.com/v1/tracks/6KBj27Bko8gh71gpx0PzIG","https://api.spotify.com/v1/audio-analysis/6KBj27Bko8gh71gpx0PzIG",174628,4
"17","no tears left to cry","Ariana Grande","105085","2qT1uLXPVPzGgFOx4jtEuo",0.699,0.713,9,-5.507,0,0.0594,0.04,3.11e-06,0.294,0.354,121.993,"audio_features","spotify:track:2qT1uLXPVPzGgFOx4jtEuo","https://api.spotify.com/v1/tracks/2qT1uLXPVPzGgFOx4jtEuo","https://api.spotify.com/v1/audio-analysis/2qT1uLXPVPzGgFOx4jtEuo",205920,4
"18","小さな恋のうた","MONGOL800","102172","7swIKcU4tFRk4iFJpi12Fg",0.403,0.87,11,-1.871,1,0.0474,0.00465,0,0.139,0.549,115.398,"audio_features","spotify:track:7swIKcU4tFRk4iFJpi12Fg","https://api.spotify.com/v1/tracks/7swIKcU4tFRk4iFJpi12Fg","https://api.spotify.com/v1/audio-analysis/7swIKcU4tFRk4iFJpi12Fg",222520,4
"19","愛をこめて花束を","Superfly","100362","7CmWXD3w1xOO53AAO4LRVQ",0.37,0.8,7,-3.403,1,0.0436,0.151,3.33e-06,0.089,0.451,161.934,"audio_features","spotify:track:7CmWXD3w1xOO53AAO4LRVQ","https://api.spotify.com/v1/tracks/7CmWXD3w1xOO53AAO4LRVQ","https://api.spotify.com/v1/audio-analysis/7CmWXD3w1xOO53AAO4LRVQ",295600,4
"20","愛を伝えたいだとか","Aimyon","98689","0N8Xztr4pBHJ7V0moJWhbO",0.673,0.85,2,-5.021,1,0.0337,0.0345,1.14e-05,0.0943,0.793,100.008,"audio_features","spotify:track:0N8Xztr4pBHJ7V0moJWhbO","https://api.spotify.com/v1/tracks/0N8Xztr4pBHJ7V0moJWhbO","https://api.spotify.com/v1/audio-analysis/0N8Xztr4pBHJ7V0moJWhbO",235241,4
"21","IDOL","BTS","96502","03iCbZaM4OkRR4We6wIzvx",0.709,0.857,9,-3.394,1,0.0881,0.00219,0,0.103,0.446,126.038,"audio_features","spotify:track:03iCbZaM4OkRR4We6wIzvx","https://api.spotify.com/v1/tracks/03iCbZaM4OkRR4We6wIzvx","https://api.spotify.com/v1/audio-analysis/03iCbZaM4OkRR4We6wIzvx",260234,4
"22","Ambivalent","Keyakizaka46","96059","3pA7Zp3qRuAJOy7AqV7zcH",0.556,0.933,3,-2.275,0,0.0717,0.0969,0,0.0708,0.611,129.976,"audio_features","spotify:track:3pA7Zp3qRuAJOy7AqV7zcH","https://api.spotify.com/v1/tracks/3pA7Zp3qRuAJOy7AqV7zcH","https://api.spotify.com/v1/audio-analysis/3pA7Zp3qRuAJOy7AqV7zcH",272567,4
"23","Kimiga Kureta Natsu","Leo Ieiri","95694","4bK6qPvD4xB8npRkZa1a55",0.514,0.602,1,-4.225,1,0.027,0.335,0,0.117,0.527,169.871,"audio_features","spotify:track:4bK6qPvD4xB8npRkZa1a55","https://api.spotify.com/v1/tracks/4bK6qPvD4xB8npRkZa1a55","https://api.spotify.com/v1/audio-analysis/4bK6qPvD4xB8npRkZa1a55",258680,4
"24","Sayonara Elegy","Masaki Suda","95635","0QKmcZNAST4GytJYmkN05D",0.466,0.934,1,-2.739,1,0.0539,0.00333,0,0.277,0.62,154.966,"audio_features","spotify:track:0QKmcZNAST4GytJYmkN05D","https://api.spotify.com/v1/tracks/0QKmcZNAST4GytJYmkN05D","https://api.spotify.com/v1/audio-analysis/0QKmcZNAST4GytJYmkN05D",257067,4
"25","花束を君に","Hikaru Utada","95493","31yv1hR9gw1WSEmtqsaZbD",0.521,0.539,4,-7.667,1,0.029,0.538,0,0.307,0.358,81.979,"audio_features","spotify:track:31yv1hR9gw1WSEmtqsaZbD","https://api.spotify.com/v1/tracks/31yv1hR9gw1WSEmtqsaZbD","https://api.spotify.com/v1/audio-analysis/31yv1hR9gw1WSEmtqsaZbD",278240,4
