"Position","Track","Artist","Streams","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","uri","track_href","analysis_url","duration_ms","time_signature"
"1","Promises (with Sam Smith)","Calvin Harris","3239859","5N5k9nd479b1xpDZ4usjrg",0.781,0.768,11,-5.991,1,0.0394,0.0119,4.91e-06,0.325,0.486,123.07,"audio_features","spotify:track:5N5k9nd479b1xpDZ4usjrg","https://api.spotify.com/v1/tracks/5N5k9nd479b1xpDZ4usjrg","https://api.spotify.com/v1/audio-analysis/5N5k9nd479b1xpDZ4usjrg",213309,4
"2","I Love It (& Lil Pump)","Kanye West","3214379","4S8d14HvHb70ImctNgVzQQ",0.901,0.522,2,-8.304,1,0.33,0.0114,0,0.259,0.329,104.053,"audio_features","spotify:track:4S8d14HvHb70ImctNgVzQQ","https://api.spotify.com/v1/tracks/4S8d14HvHb70ImctNgVzQQ","https://api.spotify.com/v1/audio-analysis/4S8d14HvHb70ImctNgVzQQ",127947,4
"3","Eastside (with Halsey & Khalid)","benny blanco","3169086","0d2iYfpKoM0QCKvcLCkBao",0.56,0.68,6,-7.648,0,0.321,0.555,0,0.116,0.319,89.391,"audio_features","spotify:track:0d2iYfpKoM0QCKvcLCkBao","https://api.spotify.com/v1/tracks/0d2iYfpKoM0QCKvcLCkBao","https://api.spotify.com/v1/audio-analysis/0d2iYfpKoM0QCKvcLCkBao",173800,4
"4","Happier","Marshmello","2602036","2dpaYNEQHiRxtZbfNsse99",0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,"audio_features","spotify:track:2dpaYNEQHiRxtZbfNsse99","https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99","https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99",214290,4
"5","Electricity (with Dua Lipa)","Silk City","2209167","5N4erncE7kuUccm7zEmwzk",0.588,0.67,0,-6.439,1,0.0473,0.0104,3.33e-06,0.338,0.505,118.159,"audio_features","spotify:track:5N4erncE7kuUccm7zEmwzk","https://api.spotify.com/v1/tracks/5N4erncE7kuUccm7zEmwzk","https://api.spotify.com/v1/audio-analysis/5N4erncE7kuUccm7zEmwzk",238173,4
"6","Falling Down - Bonus Track","Lil Peep","2062214","0Dn40gxVCMo5TkgS8Ik18Q",0.669,0.574,4,-6.442,0,0.0286,0.0175,0.00294,0.146,0.273,120.013,"audio_features","spotify:track:0Dn40gxVCMo5TkgS8Ik18Q","https://api.spotify.com/v1/tracks/0Dn40gxVCMo5TkgS8Ik18Q","https://api.spotify.com/v1/audio-analysis/0Dn40gxVCMo5TkgS8Ik18Q",196400,4
"7","In My Feelings","Drake","1936988","2G7V7zsVDxg1yRsu7Ew9RJ",0.835,0.626,1,-5.833,1,0.125,0.0589,6e-05,0.396,0.35,91.03,"audio_features","spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ","https://api.spotify.com/v1/tracks/2G7V7zsVDxg1yRsu7Ew9RJ","https://api.spotify.com/v1/audio-analysis/2G7V7zsVDxg1yRsu7Ew9RJ",217925,4
"8","Body (feat. brando)","Loud Luxury","1934228","7K7MUBCnzgBAvMVW2RTWNs",0.752,0.764,1,-4.399,1,0.038,0.0476,9.44e-05,0.0543,0.582,121.958,"audio_features","spotify:track:7K7MUBCnzgBAvMVW2RTWNs","https://api.spotify.com/v1/tracks/7K7MUBCnzgBAvMVW2RTWNs","https://api.spotify.com/v1/audio-analysis/7K7MUBCnzgBAvMVW2RTWNs",163216,4
"9","Taste (feat. Offset)","Tyga","1780443","5IaHrVsrferBYDm0bDyABy",0.884,0.559,0,-7.442,1,0.12,0.0236,0,0.101,0.342,97.994,"audio_features","spotify:track:5IaHrVsrferBYDm0bDyABy","https://api.spotify.com/v1/tracks/5IaHrVsrferBYDm0bDyABy","https://api.spotify.com/v1/audio-analysis/5IaHrVsrferBYDm0bDyABy",232959,4
"10","Lucid Dreams","Juice WRLD","1735318","0s3nnoMeVWz3989MkNQiRf",0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,"audio_features","spotify:track:0s3nnoMeVWz3989MkNQiRf","https://api.spotify.com/v1/tracks/0s3nnoMeVWz3989MkNQiRf","https://api.spotify.com/v1/audio-analysis/0s3nnoMeVWz3989MkNQiRf",239836,4
"11","Shotgun","George Ezra","1711522","4ofwffwvvnbSkrMSCKQDaC",0.672,0.735,5,-4.733,1,0.0457,0.286,0,0.242,0.754,115.741,"audio_features","spotify:track:4ofwffwvvnbSkrMSCKQDaC","https://api.spotify.com/v1/tracks/4ofwffwvvnbSkrMSCKQDaC","https://api.spotify.com/v1/audio-analysis/4ofwffwvvnbSkrMSCKQDaC",201287,4
"12","In My Mind","Dynoro","1694798","0E9ZjEAyAwOXZ7wJC0PD33",0.694,0.77,6,-5.335,1,0.149,0.176,1.1e-05,0.118,0.163,125.905,"audio_features","spotify:track:0E9ZjEAyAwOXZ7wJC0PD33","https://api.spotify.com/v1/tracks/0E9ZjEAyAwOXZ7wJC0PD33","https://api.spotify.com/v1/audio-analysis/0E9ZjEAyAwOXZ7wJC0PD33",184560,4
"13","Lucky You (feat. Joyner Lucas)","Eminem","1688879","60SdxE8apGAxMiRrpbmLY0",0.876,0.786,10,-4.884,0,0.306,0.0627,0,0.127,0.575,153.068,"audio_features","spotify:track:60SdxE8apGAxMiRrpbmLY0","https://api.spotify.com/v1/tracks/60SdxE8apGAxMiRrpbmLY0","https://api.spotify.com/v1/audio-analysis/60SdxE8apGAxMiRrpbmLY0",244679,4
"14","God is a woman","Ariana Grande","1618001","5OCJzvD7sykQEKHH7qAC3C",0.602,0.658,1,-5.934,1,0.0558,0.0233,6e-05,0.237,0.268,145.031,"audio_features","spotify:track:5OCJzvD7sykQEKHH7qAC3C","https://api.spotify.com/v1/tracks/5OCJzvD7sykQEKHH7qAC3C","https://api.spotify.com/v1/audio-analysis/5OCJzvD7sykQEKHH7qAC3C",197547,4
"15","No Brainer","DJ Khaled","1587433","5WvAo7DNuPRmk4APhdPzi8",0.552,0.76,0,-4.706,1,0.342,0.0733,0,0.0865,0.639,135.702,"audio_features","spotify:track:5WvAo7DNuPRmk4APhdPzi8","https://api.spotify.com/v1/tracks/5WvAo7DNuPRmk4APhdPzi8","https://api.spotify.com/v1/audio-analysis/5WvAo7DNuPRmk4APhdPzi8",260000,5
"16","breathin","Ariana Grande","1503732","4OafepJy2teCjYJbvFE60J",0.568,0.656,8,-5.413,1,0.0433,0.0211,1.37e-05,0.213,0.364,100.049,"audio_features","spotify:track:4OafepJy2teCjYJbvFE60J","https://api.spotify.com/v1/tracks/4OafepJy2teCjYJbvFE60J","https://api.spotify.com/v1/audio-analysis/4OafepJy2teCjYJbvFE60J",198160,4
"17","Be Alright","Dean Lewis","1437282","3EPXxR3ImUwfayaurPi3cm",0.553,0.586,11,-6.319,1,0.0362,0.697,0,0.0813,0.443,126.684,"audio_features","spotify:track:3EPXxR3ImUwfayaurPi3cm","https://api.spotify.com/v1/tracks/3EPXxR3ImUwfayaurPi3cm","https://api.spotify.com/v1/audio-analysis/3EPXxR3ImUwfayaurPi3cm",196373,4
"18","All I Am","Jess Glynne","1423133","6X6SdJzxyw7GzxwP2fr9WV",0.74,0.669,0,-5.199,1,0.0373,0.0445,0,0.184,0.536,122.007,"audio_features","spotify:track:6X6SdJzxyw7GzxwP2fr9WV","https://api.spotify.com/v1/tracks/6X6SdJzxyw7GzxwP2fr9WV","https://api.spotify.com/v1/audio-analysis/6X6SdJzxyw7GzxwP2fr9WV",218868,4
"19","SICKO MODE","Travis Scott","1355432","2xLMifQCjDGFmkHkpNLD9h",0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,"audio_features","spotify:track:2xLMifQCjDGFmkHkpNLD9h","https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h","https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h",312820,4
"20","Killshot","Eminem","1322789","1jo3TwNGCXfNdB5uba3ZVv",0.892,0.651,0,-8.645,0,0.378,0.0989,0,0.371,0.599,105.814,"audio_features","spotify:track:1jo3TwNGCXfNdB5uba3ZVv","https://api.spotify.com/v1/tracks/1jo3TwNGCXfNdB5uba3ZVv","https://api.spotify.com/v1/audio-analysis/1jo3TwNGCXfNdB5uba3ZVv",253580,4
"21","Rise","Jonas Blue","1266512","3u1S1OmAUhx5DRlLrXqyp3",0.69,0.784,1,-4.653,1,0.032,0.323,0,0.203,0.669,106.066,"audio_features","spotify:track:3u1S1OmAUhx5DRlLrXqyp3","https://api.spotify.com/v1/tracks/3u1S1OmAUhx5DRlLrXqyp3","https://api.spotify.com/v1/audio-analysis/3u1S1OmAUhx5DRlLrXqyp3",194408,4
"22","High Hopes","Panic! At The Disco","1250257","1rqqCSm0Qe4I9rUvWncaom",0.579,0.904,5,-2.729,1,0.0618,0.193,0,0.064,0.681,82.014,"audio_features","spotify:track:1rqqCSm0Qe4I9rUvWncaom","https://api.spotify.com/v1/tracks/1rqqCSm0Qe4I9rUvWncaom","https://api.spotify.com/v1/audio-analysis/1rqqCSm0Qe4I9rUvWncaom",190947,4
"23","Best Life","Hardy Caprio","1134882","3wAyZwtyyLMsJNG7Mb17ky",0.845,0.668,1,-6.702,0,0.0447,0.211,0,0.122,0.721,106.017,"audio_features","spotify:track:3wAyZwtyyLMsJNG7Mb17ky","https://api.spotify.com/v1/tracks/3wAyZwtyyLMsJNG7Mb17ky","https://api.spotify.com/v1/audio-analysis/3wAyZwtyyLMsJNG7Mb17ky",200265,4
"24","No Stylist","French Montana","1129909","04MLEeAMuV9IlHEsD8vF6A",0.765,0.704,5,-4.589,0,0.127,0.0215,0,0.227,0.498,147.055,"audio_features","spotify:track:04MLEeAMuV9IlHEsD8vF6A","https://api.spotify.com/v1/tracks/04MLEeAMuV9IlHEsD8vF6A","https://api.spotify.com/v1/audio-analysis/04MLEeAMuV9IlHEsD8vF6A",192172,4
"25","SAD!","XXXTENTACION","1102201","3ee8Jmje8o58CHK66QrVC2",0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,"audio_features","spotify:track:3ee8Jmje8o58CHK66QrVC2","https://api.spotify.com/v1/tracks/3ee8Jmje8o58CHK66QrVC2","https://api.spotify.com/v1/audio-analysis/3ee8Jmje8o58CHK66QrVC2",166606,4
