"Position","Track","Artist","Streams","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","uri","track_href","analysis_url","duration_ms","time_signature"
"1","Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","11348989","3KkXRkHbMCARz0aVfEt68P",0.76,0.479,2,-5.574,1,0.0466,0.556,0,0.0703,0.913,89.911,"audio_features","spotify:track:3KkXRkHbMCARz0aVfEt68P","https://api.spotify.com/v1/tracks/3KkXRkHbMCARz0aVfEt68P","https://api.spotify.com/v1/audio-analysis/3KkXRkHbMCARz0aVfEt68P",158040,4
"2","thank u, next","Ariana Grande","9226168","2rPE9A1vEgShuZxxzR2tZH",0.724,0.647,1,-5.642,1,0.0658,0.28,0,0.102,0.435,106.96,"audio_features","spotify:track:2rPE9A1vEgShuZxxzR2tZH","https://api.spotify.com/v1/tracks/2rPE9A1vEgShuZxxzR2tZH","https://api.spotify.com/v1/audio-analysis/2rPE9A1vEgShuZxxzR2tZH",207333,4
"3","SICKO MODE","Travis Scott","9158408","2xLMifQCjDGFmkHkpNLD9h",0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,"audio_features","spotify:track:2xLMifQCjDGFmkHkpNLD9h","https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h","https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h",312820,4
"4","All I Want for Christmas Is You","Mariah Carey","9011581","0bYg9bo50gSsH3LtXe2SQn",0.335,0.625,7,-7.462,1,0.0386,0.164,0,0.0708,0.346,150.277,"audio_features","spotify:track:0bYg9bo50gSsH3LtXe2SQn","https://api.spotify.com/v1/tracks/0bYg9bo50gSsH3LtXe2SQn","https://api.spotify.com/v1/audio-analysis/0bYg9bo50gSsH3LtXe2SQn",241107,4
"5","Going Bad (feat. Drake)","Meek Mill","8773127","2IRZnDFmlqMuOrYOLnZZyc",0.889,0.496,4,-6.365,0,0.0905,0.259,0,0.252,0.544,86.003,"audio_features","spotify:track:2IRZnDFmlqMuOrYOLnZZyc","https://api.spotify.com/v1/tracks/2IRZnDFmlqMuOrYOLnZZyc","https://api.spotify.com/v1/audio-analysis/2IRZnDFmlqMuOrYOLnZZyc",180522,4
"6","Drip Too Hard (Lil Baby & Gunna)","Lil Baby","8715630","78QR3Wp35dqAhFEc2qAGjE",0.896,0.671,1,-6.977,0,0.289,0.103,0,0.552,0.358,112.502,"audio_features","spotify:track:78QR3Wp35dqAhFEc2qAGjE","https://api.spotify.com/v1/tracks/78QR3Wp35dqAhFEc2qAGjE","https://api.spotify.com/v1/audio-analysis/78QR3Wp35dqAhFEc2qAGjE",145543,4
"7","Wow.","Post Malone","8254924","6MWtB6iiXyIwun0YzU6DFP",0.833,0.539,11,-7.399,0,0.178,0.163,2.1e-06,0.101,0.385,99.947,"audio_features","spotify:track:6MWtB6iiXyIwun0YzU6DFP","https://api.spotify.com/v1/tracks/6MWtB6iiXyIwun0YzU6DFP","https://api.spotify.com/v1/audio-analysis/6MWtB6iiXyIwun0YzU6DFP",149520,4
"8","ZEZE (feat. Travis Scott & Offset)","Kodak Black","8168525","0FZ4Dmg8jJJAPJnvBIzD9z",0.861,0.603,8,-5.788,0,0.176,0.0521,0,0.0924,0.504,98.043,"audio_features","spotify:track:0FZ4Dmg8jJJAPJnvBIzD9z","https://api.spotify.com/v1/tracks/0FZ4Dmg8jJJAPJnvBIzD9z","https://api.spotify.com/v1/audio-analysis/0FZ4Dmg8jJJAPJnvBIzD9z",228760,4
"9","a lot","21 Savage","8021330","2t8yVaLvJ0RenpXUIAC52d",0.837,0.636,1,-7.643,1,0.086,0.0395,0.00125,0.342,0.274,145.972,"audio_features","spotify:track:2t8yVaLvJ0RenpXUIAC52d","https://api.spotify.com/v1/tracks/2t8yVaLvJ0RenpXUIAC52d","https://api.spotify.com/v1/audio-analysis/2t8yVaLvJ0RenpXUIAC52d",288624,4
"10","Rockin' Around The Christmas Tree","Brenda Lee","7906671","2EjXfH91m7f8HiJN1yQg97",0.589,0.472,8,-8.749,1,0.0502,0.614,0,0.505,0.898,67.196,"audio_features","spotify:track:2EjXfH91m7f8HiJN1yQg97","https://api.spotify.com/v1/tracks/2EjXfH91m7f8HiJN1yQg97","https://api.spotify.com/v1/audio-analysis/2EjXfH91m7f8HiJN1yQg97",126267,4
