"Position","Track","Artist","Streams","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","uri","track_href","analysis_url","duration_ms","time_signature"
"1","7 rings","Ariana Grande","5254617","6ocbgoVGwYJhOv1GgI9NsF",0.778,0.317,1,-10.732,0,0.334,0.592,0,0.0881,0.327,140.048,"audio_features","spotify:track:6ocbgoVGwYJhOv1GgI9NsF","https://api.spotify.com/v1/tracks/6ocbgoVGwYJhOv1GgI9NsF","https://api.spotify.com/v1/audio-analysis/6ocbgoVGwYJhOv1GgI9NsF",178627,4
"2","Con Calma","Daddy Yankee","4410482","5w9c2J52mkdntKOmRLeM2m",0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,"audio_features","spotify:track:5w9c2J52mkdntKOmRLeM2m","https://api.spotify.com/v1/tracks/5w9c2J52mkdntKOmRLeM2m","https://api.spotify.com/v1/audio-analysis/5w9c2J52mkdntKOmRLeM2m",193227,4
"3","Sucker","Jonas Brothers","4362357","4y3OI86AEP6PQoDE6olYhO",0.846,0.731,1,-5.027,0,0.064,0.0436,0,0.0949,0.933,137.947,"audio_features","spotify:track:4y3OI86AEP6PQoDE6olYhO","https://api.spotify.com/v1/tracks/4y3OI86AEP6PQoDE6olYhO","https://api.spotify.com/v1/audio-analysis/4y3OI86AEP6PQoDE6olYhO",181040,4
"4","break up with your girlfriend, i'm bored","Ariana Grande","3877659","4kV4N9D1iKVxx1KLvtTpjS",0.726,0.554,5,-5.29,0,0.0917,0.0421,0,0.106,0.335,169.999,"audio_features","spotify:track:4kV4N9D1iKVxx1KLvtTpjS","https://api.spotify.com/v1/tracks/4kV4N9D1iKVxx1KLvtTpjS","https://api.spotify.com/v1/audio-analysis/4kV4N9D1iKVxx1KLvtTpjS",190440,4
"5","Shallow","Lady Gaga","3846287","2VxeLyX666F8uXCJ0dZF8B",0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,"audio_features","spotify:track:2VxeLyX666F8uXCJ0dZF8B","https://api.spotify.com/v1/tracks/2VxeLyX666F8uXCJ0dZF8B","https://api.spotify.com/v1/audio-analysis/2VxeLyX666F8uXCJ0dZF8B",215733,4
"6","Wow.","Post Malone","3538827","6MWtB6iiXyIwun0YzU6DFP",0.833,0.539,11,-7.399,0,0.178,0.163,2.1e-06,0.101,0.385,99.947,"audio_features","spotify:track:6MWtB6iiXyIwun0YzU6DFP","https://api.spotify.com/v1/tracks/6MWtB6iiXyIwun0YzU6DFP","https://api.spotify.com/v1/audio-analysis/6MWtB6iiXyIwun0YzU6DFP",149520,4
"7","Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","3437215","3KkXRkHbMCARz0aVfEt68P",0.76,0.479,2,-5.574,1,0.0466,0.556,0,0.0703,0.913,89.911,"audio_features","spotify:track:3KkXRkHbMCARz0aVfEt68P","https://api.spotify.com/v1/tracks/3KkXRkHbMCARz0aVfEt68P","https://api.spotify.com/v1/audio-analysis/3KkXRkHbMCARz0aVfEt68P",158040,4
"8","Calma - Remix","Pedro Capó","2927598","5iwz1NiezX7WWjnCgY5TH4",0.826,0.773,11,-4.218,0,0.0524,0.323,0,0.143,0.761,126.899,"audio_features","spotify:track:5iwz1NiezX7WWjnCgY5TH4","https://api.spotify.com/v1/tracks/5iwz1NiezX7WWjnCgY5TH4","https://api.spotify.com/v1/audio-analysis/5iwz1NiezX7WWjnCgY5TH4",238200,4
"9","Secreto","Anuel Aa","2865651","5W83ErFkO3aKAIS1WMi6u0",0.807,0.803,11,-4.156,1,0.126,0.602,0.00853,0.136,0.706,91.987,"audio_features","spotify:track:5W83ErFkO3aKAIS1WMi6u0","https://api.spotify.com/v1/tracks/5W83ErFkO3aKAIS1WMi6u0","https://api.spotify.com/v1/audio-analysis/5W83ErFkO3aKAIS1WMi6u0",258800,4
"10","Happier","Marshmello","2825177","2dpaYNEQHiRxtZbfNsse99",0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,"audio_features","spotify:track:2dpaYNEQHiRxtZbfNsse99","https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99","https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99",214290,4
"11","Dancing With A Stranger (with Normani)","Sam Smith","2745215","6Qs4SXO9dwPj5GKvVOv8Ki",0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,"audio_features","spotify:track:6Qs4SXO9dwPj5GKvVOv8Ki","https://api.spotify.com/v1/tracks/6Qs4SXO9dwPj5GKvVOv8Ki","https://api.spotify.com/v1/audio-analysis/6Qs4SXO9dwPj5GKvVOv8Ki",171030,4
"12","Sweet but Psycho","Ava Max","2666205","25sgk305KZfyuqVBQIahim",0.719,0.704,1,-4.724,1,0.0476,0.0691,0,0.166,0.628,133.002,"audio_features","spotify:track:25sgk305KZfyuqVBQIahim","https://api.spotify.com/v1/tracks/25sgk305KZfyuqVBQIahim","https://api.spotify.com/v1/audio-analysis/25sgk305KZfyuqVBQIahim",187436,4
