,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"7 rings","Ariana Grande",5254617,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
2,"Con Calma","Daddy Yankee",4410482,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
3,Sucker,"Jonas Brothers",4362357,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
4,"break up with your girlfriend, i'm bored","Ariana Grande",3877659,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
5,Shallow,"Lady Gaga",3846287,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
6,Wow.,"Post Malone",3538827,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
7,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",3437215,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
8,"Calma - Remix","Pedro Capó",2927598,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
9,Secreto,"Anuel Aa",2865651,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
10,Happier,Marshmello,2825177,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
11,"Dancing With A Stranger (with Normani)","Sam Smith",2745215,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
12,"Sweet but Psycho","Ava Max",2666205,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
13,"MIDDLE CHILD","J. Cole",2550745,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
14,"Baila Baila Baila",Ozuna,2546132,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
15,"thank u, next","Ariana Grande",2529099,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
16,"bury a friend","Billie Eilish",2505685,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP
17,"wish you were gay","Billie Eilish",2448609,https://open.spotify.com/track/4txc3txsIt81diMzGhrVPS
18,"Without Me",Halsey,2439649,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
